,Total_f1,w_1,w_2,w_3,1_f1,2_f1,3_f1
0,0.9199999999999999,0.1,0.25,0.5,0.69,0.14,0.09
1,0.97,0.1,0.25,1.0,0.65,0.13,0.19
2,0.9199999999999999,0.1,0.25,1.5,0.61,0.1,0.21
3,0.88,0.1,0.25,2.0,0.56,0.1,0.22
4,0.8300000000000001,0.1,0.25,2.5,0.54,0.07,0.22
5,0.8200000000000001,0.1,0.25,3.0,0.51,0.07,0.24
6,0.76,0.1,0.25,3.5,0.47,0.06,0.23
7,0.75,0.1,0.25,4.0,0.46,0.06,0.23
8,0.72,0.1,0.25,4.5,0.44,0.05,0.23
9,0.68,0.1,0.25,5.0,0.4,0.05,0.23
10,0.6799999999999999,0.1,0.25,5.5,0.4,0.04,0.24
11,0.6799999999999999,0.1,0.25,6.0,0.39,0.05,0.24
12,0.99,0.1,0.5,0.5,0.62,0.3,0.07
13,1.0499999999999998,0.1,0.5,1.0,0.58,0.29,0.18
14,1.02,0.1,0.5,1.5,0.54,0.28,0.2
15,0.96,0.1,0.5,2.0,0.5,0.26,0.2
16,0.96,0.1,0.5,2.5,0.48,0.26,0.22
17,0.9299999999999999,0.1,0.5,3.0,0.46,0.24,0.23
18,0.86,0.1,0.5,3.5,0.41,0.22,0.23
19,0.85,0.1,0.5,4.0,0.4,0.22,0.23
20,0.81,0.1,0.5,4.5,0.38,0.2,0.23
21,0.78,0.1,0.5,5.0,0.36,0.19,0.23
22,0.77,0.1,0.5,5.5,0.34,0.2,0.23
23,0.73,0.1,0.5,6.0,0.31,0.19,0.23
24,0.9400000000000001,0.1,0.75,0.5,0.53,0.37,0.04
25,0.98,0.1,0.75,1.0,0.48,0.35,0.15
26,0.97,0.1,0.75,1.5,0.44,0.35,0.18
27,0.96,0.1,0.75,2.0,0.42,0.34,0.2
28,0.94,0.1,0.75,2.5,0.4,0.32,0.22
29,0.9099999999999999,0.1,0.75,3.0,0.37,0.32,0.22
30,0.8899999999999999,0.1,0.75,3.5,0.36,0.31,0.22
31,0.8400000000000001,0.1,0.75,4.0,0.33,0.28,0.23
32,0.84,0.1,0.75,4.5,0.31,0.31,0.22
33,0.84,0.1,0.75,5.0,0.31,0.3,0.23
34,0.76,0.1,0.75,5.5,0.28,0.26,0.22
35,0.73,0.1,0.75,6.0,0.27,0.23,0.23
36,0.87,0.1,1.0,0.5,0.47,0.38,0.02
37,0.9400000000000001,0.1,1.0,1.0,0.44,0.38,0.12
38,0.92,0.1,1.0,1.5,0.38,0.37,0.17
39,0.8999999999999999,0.1,1.0,2.0,0.36,0.36,0.18
40,0.8699999999999999,0.1,1.0,2.5,0.32,0.35,0.2
41,0.86,0.1,1.0,3.0,0.31,0.34,0.21
42,0.8200000000000001,0.1,1.0,3.5,0.28,0.33,0.21
43,0.85,0.1,1.0,4.0,0.3,0.33,0.22
44,0.8,0.1,1.0,4.5,0.27,0.31,0.22
45,0.75,0.1,1.0,5.0,0.23,0.3,0.22
46,0.76,0.1,1.0,5.5,0.24,0.29,0.23
47,0.74,0.1,1.0,6.0,0.22,0.29,0.23
48,0.8400000000000001,0.1,1.25,0.5,0.42,0.4,0.02
49,0.84,0.1,1.25,1.0,0.36,0.39,0.09
50,0.84,0.1,1.25,1.5,0.33,0.38,0.13
51,0.8599999999999999,0.1,1.25,2.0,0.3,0.38,0.18
52,0.8499999999999999,0.1,1.25,2.5,0.29,0.37,0.19
53,0.84,0.1,1.25,3.0,0.27,0.36,0.21
54,0.81,0.1,1.25,3.5,0.25,0.36,0.2
55,0.78,0.1,1.25,4.0,0.23,0.34,0.21
56,0.77,0.1,1.25,4.5,0.23,0.32,0.22
57,0.74,0.1,1.25,5.0,0.21,0.32,0.21
58,0.74,0.1,1.25,5.5,0.2,0.31,0.23
59,0.74,0.1,1.25,6.0,0.2,0.31,0.23
60,0.78,0.1,1.5,0.5,0.36,0.4,0.02
61,0.8,0.1,1.5,1.0,0.32,0.41,0.07
62,0.8,0.1,1.5,1.5,0.28,0.4,0.12
63,0.8400000000000001,0.1,1.5,2.0,0.28,0.39,0.17
64,0.8200000000000001,0.1,1.5,2.5,0.25,0.38,0.19
65,0.81,0.1,1.5,3.0,0.23,0.39,0.19
66,0.7999999999999999,0.1,1.5,3.5,0.21,0.38,0.21
67,0.78,0.1,1.5,4.0,0.2,0.37,0.21
68,0.74,0.1,1.5,4.5,0.19,0.34,0.21
69,0.74,0.1,1.5,5.0,0.18,0.35,0.21
70,0.75,0.1,1.5,5.5,0.18,0.34,0.23
71,0.7,0.1,1.5,6.0,0.16,0.31,0.23
72,0.77,0.1,1.75,0.5,0.35,0.41,0.01
73,0.75,0.1,1.75,1.0,0.29,0.4,0.06
74,0.77,0.1,1.75,1.5,0.25,0.4,0.12
75,0.79,0.1,1.75,2.0,0.24,0.39,0.16
76,0.76,0.1,1.75,2.5,0.22,0.38,0.16
77,0.78,0.1,1.75,3.0,0.21,0.39,0.18
78,0.75,0.1,1.75,3.5,0.19,0.37,0.19
79,0.73,0.1,1.75,4.0,0.18,0.37,0.18
80,0.76,0.1,1.75,4.5,0.17,0.37,0.22
81,0.74,0.1,1.75,5.0,0.16,0.36,0.22
82,0.72,0.1,1.75,5.5,0.16,0.34,0.22
83,0.72,0.1,1.75,6.0,0.16,0.34,0.22
84,0.71,0.1,2.0,0.5,0.29,0.41,0.01
85,0.73,0.1,2.0,1.0,0.25,0.41,0.07
86,0.72,0.1,2.0,1.5,0.23,0.4,0.09
87,0.74,0.1,2.0,2.0,0.21,0.4,0.13
88,0.7400000000000001,0.1,2.0,2.5,0.19,0.4,0.15
89,0.75,0.1,2.0,3.0,0.19,0.38,0.18
90,0.76,0.1,2.0,3.5,0.18,0.39,0.19
91,0.74,0.1,2.0,4.0,0.16,0.38,0.2
92,0.74,0.1,2.0,4.5,0.17,0.38,0.19
93,0.75,0.1,2.0,5.0,0.16,0.37,0.22
94,0.72,0.1,2.0,5.5,0.15,0.36,0.21
95,0.7,0.1,2.0,6.0,0.13,0.35,0.22
96,0.69,0.1,2.25,0.5,0.27,0.41,0.01
97,0.68,0.1,2.25,1.0,0.22,0.41,0.05
98,0.71,0.1,2.25,1.5,0.21,0.41,0.09
99,0.74,0.1,2.25,2.0,0.19,0.41,0.14
100,0.7100000000000001,0.1,2.25,2.5,0.16,0.39,0.16
101,0.7500000000000001,0.1,2.25,3.0,0.18,0.4,0.17
102,0.72,0.1,2.25,3.5,0.15,0.39,0.18
103,0.72,0.1,2.25,4.0,0.15,0.38,0.19
104,0.72,0.1,2.25,4.5,0.15,0.38,0.19
105,0.72,0.1,2.25,5.0,0.14,0.37,0.21
106,0.72,0.1,2.25,5.5,0.13,0.37,0.22
107,0.7,0.1,2.25,6.0,0.12,0.37,0.21
108,0.6699999999999999,0.1,2.5,0.5,0.25,0.42,0.0
109,0.66,0.1,2.5,1.0,0.22,0.41,0.03
110,0.69,0.1,2.5,1.5,0.19,0.42,0.08
111,0.7,0.1,2.5,2.0,0.18,0.41,0.11
112,0.7000000000000001,0.1,2.5,2.5,0.16,0.4,0.14
113,0.7000000000000001,0.1,2.5,3.0,0.15,0.39,0.16
114,0.7000000000000001,0.1,2.5,3.5,0.14,0.39,0.17
115,0.7000000000000001,0.1,2.5,4.0,0.14,0.39,0.17
116,0.69,0.1,2.5,4.5,0.13,0.38,0.18
117,0.72,0.1,2.5,5.0,0.13,0.39,0.2
118,0.73,0.1,2.5,5.5,0.13,0.38,0.22
119,0.71,0.1,2.5,6.0,0.11,0.38,0.22
120,0.65,0.1,2.75,0.5,0.23,0.42,0.0
121,0.63,0.1,2.75,1.0,0.19,0.41,0.03
122,0.6599999999999999,0.1,2.75,1.5,0.17,0.41,0.08
123,0.6499999999999999,0.1,2.75,2.0,0.15,0.41,0.09
124,0.68,0.1,2.75,2.5,0.14,0.41,0.13
125,0.7000000000000001,0.1,2.75,3.0,0.14,0.4,0.16
126,0.66,0.1,2.75,3.5,0.13,0.39,0.14
127,0.6900000000000001,0.1,2.75,4.0,0.12,0.4,0.17
128,0.69,0.1,2.75,4.5,0.13,0.38,0.18
129,0.7,0.1,2.75,5.0,0.11,0.39,0.2
130,0.71,0.1,2.75,5.5,0.11,0.4,0.2
131,0.72,0.1,2.75,6.0,0.11,0.39,0.22
132,0.64,0.1,3.0,0.5,0.21,0.42,0.01
133,0.61,0.1,3.0,1.0,0.17,0.42,0.02
134,0.63,0.1,3.0,1.5,0.16,0.42,0.05
135,0.6699999999999999,0.1,3.0,2.0,0.15,0.41,0.11
136,0.67,0.1,3.0,2.5,0.14,0.41,0.12
137,0.65,0.1,3.0,3.0,0.12,0.4,0.13
138,0.7,0.1,3.0,3.5,0.12,0.4,0.18
139,0.6900000000000001,0.1,3.0,4.0,0.12,0.4,0.17
140,0.71,0.1,3.0,4.5,0.11,0.4,0.2
141,0.6599999999999999,0.1,3.0,5.0,0.09,0.39,0.18
142,0.69,0.1,3.0,5.5,0.09,0.39,0.21
143,0.69,0.1,3.0,6.0,0.1,0.38,0.21
144,0.8,0.2,0.25,0.5,0.73,0.03,0.04
145,0.83,0.2,0.25,1.0,0.72,0.02,0.09
146,0.87,0.2,0.25,1.5,0.7,0.01,0.16
147,0.8600000000000001,0.2,0.25,2.0,0.67,0.01,0.18
148,0.87,0.2,0.25,2.5,0.65,0.01,0.21
149,0.84,0.2,0.25,3.0,0.62,0.01,0.21
150,0.84,0.2,0.25,3.5,0.61,0.01,0.22
151,0.82,0.2,0.25,4.0,0.59,0.01,0.22
152,0.82,0.2,0.25,4.5,0.58,0.01,0.23
153,0.79,0.2,0.25,5.0,0.56,0.0,0.23
154,0.77,0.2,0.25,5.5,0.54,0.0,0.23
155,0.76,0.2,0.25,6.0,0.53,0.0,0.23
156,0.91,0.2,0.5,0.5,0.72,0.16,0.03
157,0.9299999999999999,0.2,0.5,1.0,0.7,0.14,0.09
158,1.0,0.2,0.5,1.5,0.68,0.16,0.16
159,1.0,0.2,0.5,2.0,0.65,0.14,0.21
160,1.0,0.2,0.5,2.5,0.64,0.14,0.22
161,0.94,0.2,0.5,3.0,0.61,0.1,0.23
162,0.9199999999999999,0.2,0.5,3.5,0.59,0.11,0.22
163,0.89,0.2,0.5,4.0,0.56,0.11,0.22
164,0.8400000000000001,0.2,0.5,4.5,0.55,0.07,0.22
165,0.85,0.2,0.5,5.0,0.54,0.08,0.23
166,0.8300000000000001,0.2,0.5,5.5,0.53,0.07,0.23
167,0.7999999999999999,0.2,0.5,6.0,0.5,0.08,0.22
168,0.9500000000000001,0.2,0.75,0.5,0.68,0.25,0.02
169,0.98,0.2,0.75,1.0,0.66,0.25,0.07
170,0.99,0.2,0.75,1.5,0.63,0.23,0.13
171,1.02,0.2,0.75,2.0,0.61,0.24,0.17
172,1.01,0.2,0.75,2.5,0.59,0.24,0.18
173,1.01,0.2,0.75,3.0,0.58,0.22,0.21
174,0.97,0.2,0.75,3.5,0.55,0.2,0.22
175,0.98,0.2,0.75,4.0,0.55,0.21,0.22
176,0.96,0.2,0.75,4.5,0.53,0.21,0.22
177,0.94,0.2,0.75,5.0,0.52,0.19,0.23
178,0.89,0.2,0.75,5.5,0.49,0.17,0.23
179,0.87,0.2,0.75,6.0,0.48,0.16,0.23
180,0.94,0.2,1.0,0.5,0.63,0.3,0.01
181,1.01,0.2,1.0,1.0,0.62,0.31,0.08
182,0.9999999999999999,0.2,1.0,1.5,0.6,0.29,0.11
183,1.0199999999999998,0.2,1.0,2.0,0.57,0.29,0.16
184,1.03,0.2,1.0,2.5,0.54,0.3,0.19
185,1.04,0.2,1.0,3.0,0.55,0.29,0.2
186,1.01,0.2,1.0,3.5,0.52,0.28,0.21
187,0.96,0.2,1.0,4.0,0.49,0.26,0.21
188,1.0,0.2,1.0,4.5,0.49,0.28,0.23
189,0.9199999999999999,0.2,1.0,5.0,0.48,0.23,0.21
190,0.9299999999999999,0.2,1.0,5.5,0.45,0.25,0.23
191,0.9099999999999999,0.2,1.0,6.0,0.45,0.24,0.22
192,0.95,0.2,1.25,0.5,0.6,0.34,0.01
193,0.95,0.2,1.25,1.0,0.57,0.34,0.04
194,1.0000000000000002,0.2,1.25,1.5,0.55,0.34,0.11
195,0.9900000000000001,0.2,1.25,2.0,0.51,0.34,0.14
196,0.9900000000000001,0.2,1.25,2.5,0.51,0.31,0.17
197,0.98,0.2,1.25,3.0,0.49,0.31,0.18
198,0.99,0.2,1.25,3.5,0.47,0.32,0.2
199,0.97,0.2,1.25,4.0,0.44,0.31,0.22
200,0.96,0.2,1.25,4.5,0.44,0.31,0.21
201,0.8999999999999999,0.2,1.25,5.0,0.42,0.27,0.21
202,0.8999999999999999,0.2,1.25,5.5,0.41,0.27,0.22
203,0.9,0.2,1.25,6.0,0.39,0.28,0.23
204,0.93,0.2,1.5,0.5,0.56,0.36,0.01
205,0.95,0.2,1.5,1.0,0.54,0.35,0.06
206,0.96,0.2,1.5,1.5,0.5,0.36,0.1
207,0.96,0.2,1.5,2.0,0.48,0.35,0.13
208,0.98,0.2,1.5,2.5,0.47,0.35,0.16
209,0.99,0.2,1.5,3.0,0.45,0.35,0.19
210,0.95,0.2,1.5,3.5,0.43,0.34,0.18
211,0.95,0.2,1.5,4.0,0.41,0.34,0.2
212,0.94,0.2,1.5,4.5,0.39,0.34,0.21
213,0.9199999999999999,0.2,1.5,5.0,0.39,0.31,0.22
214,0.9299999999999999,0.2,1.5,5.5,0.4,0.31,0.22
215,0.8899999999999999,0.2,1.5,6.0,0.36,0.31,0.22
216,0.91,0.2,1.75,0.5,0.53,0.38,0.0
217,0.9,0.2,1.75,1.0,0.5,0.37,0.03
218,0.94,0.2,1.75,1.5,0.48,0.38,0.08
219,0.9600000000000001,0.2,1.75,2.0,0.45,0.37,0.14
220,0.9400000000000001,0.2,1.75,2.5,0.44,0.37,0.13
221,0.92,0.2,1.75,3.0,0.42,0.35,0.15
222,0.9099999999999999,0.2,1.75,3.5,0.39,0.34,0.18
223,0.95,0.2,1.75,4.0,0.39,0.36,0.2
224,0.9099999999999999,0.2,1.75,4.5,0.36,0.34,0.21
225,0.8899999999999999,0.2,1.75,5.0,0.35,0.34,0.2
226,0.8799999999999999,0.2,1.75,5.5,0.35,0.33,0.2
227,0.88,0.2,1.75,6.0,0.34,0.33,0.21
228,0.87,0.2,2.0,0.5,0.48,0.38,0.01
229,0.8600000000000001,0.2,2.0,1.0,0.46,0.37,0.03
230,0.91,0.2,2.0,1.5,0.45,0.38,0.08
231,0.92,0.2,2.0,2.0,0.41,0.38,0.13
232,0.92,0.2,2.0,2.5,0.41,0.38,0.13
233,0.93,0.2,2.0,3.0,0.39,0.37,0.17
234,0.9,0.2,2.0,3.5,0.36,0.37,0.17
235,0.9099999999999999,0.2,2.0,4.0,0.35,0.36,0.2
236,0.8699999999999999,0.2,2.0,4.5,0.32,0.35,0.2
237,0.8600000000000001,0.2,2.0,5.0,0.32,0.34,0.2
238,0.8699999999999999,0.2,2.0,5.5,0.3,0.35,0.22
239,0.85,0.2,2.0,6.0,0.31,0.33,0.21
240,0.8400000000000001,0.2,2.25,0.5,0.45,0.39,0.0
241,0.8400000000000001,0.2,2.25,1.0,0.42,0.39,0.03
242,0.8899999999999999,0.2,2.25,1.5,0.42,0.41,0.06
243,0.87,0.2,2.25,2.0,0.39,0.39,0.09
244,0.88,0.2,2.25,2.5,0.37,0.38,0.13
245,0.84,0.2,2.25,3.0,0.35,0.37,0.12
246,0.8799999999999999,0.2,2.25,3.5,0.34,0.36,0.18
247,0.8799999999999999,0.2,2.25,4.0,0.32,0.37,0.19
248,0.8599999999999999,0.2,2.25,4.5,0.31,0.36,0.19
249,0.8599999999999999,0.2,2.25,5.0,0.3,0.36,0.2
250,0.8599999999999999,0.2,2.25,5.5,0.29,0.36,0.21
251,0.8499999999999999,0.2,2.25,6.0,0.3,0.35,0.2
252,0.8400000000000001,0.2,2.5,0.5,0.44,0.39,0.01
253,0.8200000000000001,0.2,2.5,1.0,0.41,0.39,0.02
254,0.8400000000000001,0.2,2.5,1.5,0.38,0.4,0.06
255,0.84,0.2,2.5,2.0,0.35,0.39,0.1
256,0.84,0.2,2.5,2.5,0.34,0.38,0.12
257,0.88,0.2,2.5,3.0,0.34,0.38,0.16
258,0.85,0.2,2.5,3.5,0.3,0.39,0.16
259,0.8599999999999999,0.2,2.5,4.0,0.3,0.38,0.18
260,0.82,0.2,2.5,4.5,0.29,0.36,0.17
261,0.8200000000000001,0.2,2.5,5.0,0.27,0.36,0.19
262,0.8300000000000001,0.2,2.5,5.5,0.27,0.37,0.19
263,0.81,0.2,2.5,6.0,0.26,0.35,0.2
264,0.81,0.2,2.75,0.5,0.41,0.4,0.0
265,0.81,0.2,2.75,1.0,0.39,0.4,0.02
266,0.8,0.2,2.75,1.5,0.36,0.4,0.04
267,0.8200000000000001,0.2,2.75,2.0,0.35,0.4,0.07
268,0.85,0.2,2.75,2.5,0.33,0.4,0.12
269,0.84,0.2,2.75,3.0,0.3,0.39,0.15
270,0.84,0.2,2.75,3.5,0.29,0.39,0.16
271,0.8400000000000001,0.2,2.75,4.0,0.28,0.4,0.16
272,0.8600000000000001,0.2,2.75,4.5,0.28,0.38,0.2
273,0.8200000000000001,0.2,2.75,5.0,0.26,0.38,0.18
274,0.8300000000000001,0.2,2.75,5.5,0.26,0.37,0.2
275,0.83,0.2,2.75,6.0,0.26,0.36,0.21
276,0.79,0.2,3.0,0.5,0.39,0.4,0.0
277,0.78,0.2,3.0,1.0,0.37,0.4,0.01
278,0.78,0.2,3.0,1.5,0.34,0.4,0.04
279,0.8,0.2,3.0,2.0,0.34,0.39,0.07
280,0.7999999999999999,0.2,3.0,2.5,0.3,0.4,0.1
281,0.8200000000000001,0.2,3.0,3.0,0.28,0.39,0.15
282,0.8200000000000001,0.2,3.0,3.5,0.26,0.39,0.17
283,0.8200000000000001,0.2,3.0,4.0,0.26,0.39,0.17
284,0.81,0.2,3.0,4.5,0.25,0.39,0.17
285,0.81,0.2,3.0,5.0,0.25,0.38,0.18
286,0.8,0.2,3.0,5.5,0.24,0.37,0.19
287,0.77,0.2,3.0,6.0,0.22,0.36,0.19
288,0.75,0.3,0.25,0.5,0.74,0.0,0.01
289,0.8,0.3,0.25,1.0,0.73,0.0,0.07
290,0.8099999999999999,0.3,0.25,1.5,0.72,0.0,0.09
291,0.85,0.3,0.25,2.0,0.7,0.0,0.15
292,0.8899999999999999,0.3,0.25,2.5,0.7,0.0,0.19
293,0.8700000000000001,0.3,0.25,3.0,0.68,0.0,0.19
294,0.8600000000000001,0.3,0.25,3.5,0.66,0.0,0.2
295,0.8500000000000001,0.3,0.25,4.0,0.65,0.0,0.2
296,0.86,0.3,0.25,4.5,0.64,0.0,0.22
297,0.82,0.3,0.25,5.0,0.61,0.0,0.21
298,0.8,0.3,0.25,5.5,0.6,0.0,0.2
299,0.8099999999999999,0.3,0.25,6.0,0.59,0.0,0.22
300,0.79,0.3,0.5,0.5,0.73,0.05,0.01
301,0.85,0.3,0.5,1.0,0.73,0.08,0.04
302,0.85,0.3,0.5,1.5,0.71,0.05,0.09
303,0.9,0.3,0.5,2.0,0.7,0.05,0.15
304,0.9,0.3,0.5,2.5,0.69,0.04,0.17
305,0.9000000000000001,0.3,0.5,3.0,0.68,0.04,0.18
306,0.9000000000000001,0.3,0.5,3.5,0.65,0.05,0.2
307,0.8400000000000001,0.3,0.5,4.0,0.63,0.03,0.18
308,0.8600000000000001,0.3,0.5,4.5,0.62,0.04,0.2
309,0.86,0.3,0.5,5.0,0.61,0.03,0.22
310,0.86,0.3,0.5,5.5,0.6,0.03,0.23
311,0.83,0.3,0.5,6.0,0.58,0.03,0.22
312,0.87,0.3,0.75,0.5,0.71,0.16,0.0
313,0.9299999999999999,0.3,0.75,1.0,0.71,0.16,0.06
314,0.9199999999999999,0.3,0.75,1.5,0.69,0.15,0.08
315,0.9700000000000001,0.3,0.75,2.0,0.68,0.14,0.15
316,0.9700000000000001,0.3,0.75,2.5,0.67,0.13,0.17
317,0.98,0.3,0.75,3.0,0.66,0.14,0.18
318,0.9299999999999999,0.3,0.75,3.5,0.64,0.1,0.19
319,0.9199999999999999,0.3,0.75,4.0,0.61,0.11,0.2
320,0.9299999999999999,0.3,0.75,4.5,0.62,0.1,0.21
321,0.94,0.3,0.75,5.0,0.6,0.13,0.21
322,0.8699999999999999,0.3,0.75,5.5,0.58,0.09,0.2
323,0.8799999999999999,0.3,0.75,6.0,0.57,0.1,0.21
324,0.9199999999999999,0.3,1.0,0.5,0.69,0.23,0.0
325,0.9500000000000001,0.3,1.0,1.0,0.68,0.23,0.04
326,0.98,0.3,1.0,1.5,0.67,0.23,0.08
327,1.02,0.3,1.0,2.0,0.67,0.23,0.12
328,1.03,0.3,1.0,2.5,0.65,0.23,0.15
329,1.02,0.3,1.0,3.0,0.64,0.2,0.18
330,1.01,0.3,1.0,3.5,0.62,0.2,0.19
331,0.99,0.3,1.0,4.0,0.6,0.19,0.2
332,0.95,0.3,1.0,4.5,0.58,0.17,0.2
333,0.99,0.3,1.0,5.0,0.59,0.19,0.21
334,0.98,0.3,1.0,5.5,0.56,0.2,0.22
335,0.92,0.3,1.0,6.0,0.54,0.15,0.23
336,0.9400000000000001,0.3,1.25,0.5,0.67,0.27,0.0
337,0.98,0.3,1.25,1.0,0.66,0.29,0.03
338,1.0,0.3,1.25,1.5,0.64,0.28,0.08
339,1.02,0.3,1.25,2.0,0.63,0.28,0.11
340,1.03,0.3,1.25,2.5,0.62,0.26,0.15
341,1.04,0.3,1.25,3.0,0.61,0.26,0.17
342,1.02,0.3,1.25,3.5,0.58,0.25,0.19
343,1.03,0.3,1.25,4.0,0.57,0.26,0.2
344,0.97,0.3,1.25,4.5,0.55,0.23,0.19
345,1.02,0.3,1.25,5.0,0.55,0.26,0.21
346,0.99,0.3,1.25,5.5,0.53,0.25,0.21
347,0.99,0.3,1.25,6.0,0.53,0.23,0.23
348,0.9199999999999999,0.3,1.5,0.5,0.63,0.29,0.0
349,1.0,0.3,1.5,1.0,0.64,0.32,0.04
350,1.0,0.3,1.5,1.5,0.61,0.32,0.07
351,1.03,0.3,1.5,2.0,0.61,0.32,0.1
352,0.9899999999999999,0.3,1.5,2.5,0.58,0.29,0.12
353,1.02,0.3,1.5,3.0,0.56,0.3,0.16
354,1.05,0.3,1.5,3.5,0.56,0.3,0.19
355,1.04,0.3,1.5,4.0,0.55,0.29,0.2
356,1.01,0.3,1.5,4.5,0.53,0.28,0.2
357,0.97,0.3,1.5,5.0,0.5,0.26,0.21
358,0.99,0.3,1.5,5.5,0.5,0.28,0.21
359,0.96,0.3,1.5,6.0,0.49,0.26,0.21
360,0.95,0.3,1.75,0.5,0.61,0.33,0.01
361,0.96,0.3,1.75,1.0,0.6,0.33,0.03
362,0.96,0.3,1.75,1.5,0.59,0.33,0.04
363,0.9700000000000001,0.3,1.75,2.0,0.56,0.32,0.09
364,0.9800000000000001,0.3,1.75,2.5,0.55,0.31,0.12
365,0.9800000000000001,0.3,1.75,3.0,0.53,0.31,0.14
366,0.9800000000000001,0.3,1.75,3.5,0.52,0.31,0.15
367,1.04,0.3,1.75,4.0,0.52,0.33,0.19
368,1.0,0.3,1.75,4.5,0.5,0.31,0.19
369,1.01,0.3,1.75,5.0,0.5,0.31,0.2
370,1.0,0.3,1.75,5.5,0.48,0.3,0.22
371,0.97,0.3,1.75,6.0,0.46,0.3,0.21
372,0.95,0.3,2.0,0.5,0.59,0.35,0.01
373,0.94,0.3,2.0,1.0,0.57,0.35,0.02
374,0.9500000000000001,0.3,2.0,1.5,0.56,0.36,0.03
375,0.96,0.3,2.0,2.0,0.54,0.35,0.07
376,0.9900000000000001,0.3,2.0,2.5,0.53,0.34,0.12
377,1.03,0.3,2.0,3.0,0.53,0.34,0.16
378,1.01,0.3,2.0,3.5,0.5,0.35,0.16
379,0.99,0.3,2.0,4.0,0.48,0.33,0.18
380,1.0,0.3,2.0,4.5,0.48,0.33,0.19
381,1.0,0.3,2.0,5.0,0.46,0.34,0.2
